date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:40:23	69/69	---M-Z	200	added ('OK')	text/plain	date:Mon,%2002%20Feb%202026%2010:40:23%20GMT	https://www.trustedconsumersreviews.com/robots.txt		(from )
12:40:24	109292/109292	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202026%2010:40:23%20GMT	https://www.trustedconsumersreviews.com/best-toenail-fungus-alternatives-stv25/	C:/Users/toant/Desktop/top-5/www.trustedconsumersreviews.com/best-toenail-fungus-alternatives-stv25/index.html	(from )
12:40:24	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2002%20Feb%202026%2010:40:24%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/toant/Desktop/top-5/www.googletagmanager.com/gtm.15445.delayed	(from https://www.trustedconsumersreviews.com/best-toenail-fungus-alternatives-stv25/)
12:40:24	255060/255060	---MCZ	200	added ('OK')	text/javascript	etag:W/%22a44732718ec320279245f0f1ca83bbe6%22	https://cdn.pagesense.io/js/arquett/666e71ab098245e99dd7467e5639622b.js	C:/Users/toant/Desktop/top-5/cdn.pagesense.io/js/arquett/666e71ab098245e99dd7467e5639622b.js	(from https://www.trustedconsumersreviews.com/best-toenail-fungus-alternatives-stv25/)
12:40:25	71760/71760	---MCZ	200	added ('OK')	application/javascript	etag:W/%22697dd6c1-11850%22	https://app.varify.io/varify.js	C:/Users/toant/Desktop/top-5/app.varify.io/varify.js	(from https://www.trustedconsumersreviews.com/best-toenail-fungus-alternatives-stv25/)
12:40:25	28884/28884	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2002%20Feb%202026%2010:40:25%20GMT	https://www.trustedconsumersreviews.com/best-toenail-fungus-alternatives-stv25/edu.au	C:/Users/toant/Desktop/top-5/www.trustedconsumersreviews.com/best-toenail-fungus-alternatives-stv25/edu.au	(from https://www.trustedconsumersreviews.com/best-toenail-fungus-alternatives-stv25/)
12:40:26	28884/28884	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2002%20Feb%202026%2010:40:25%20GMT	https://www.trustedconsumersreviews.com/best-toenail-fungus-alternatives-stv25/net.au	C:/Users/toant/Desktop/top-5/www.trustedconsumersreviews.com/best-toenail-fungus-alternatives-stv25/net.au	(from https://www.trustedconsumersreviews.com/best-toenail-fungus-alternatives-stv25/)
12:40:26	28884/28884	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2002%20Feb%202026%2010:40:26%20GMT	https://www.trustedconsumersreviews.com/best-toenail-fungus-alternatives-stv25/com.au	C:/Users/toant/Desktop/top-5/www.trustedconsumersreviews.com/best-toenail-fungus-alternatives-stv25/com.au	(from https://www.trustedconsumersreviews.com/best-toenail-fungus-alternatives-stv25/)
12:40:27	28884/28884	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2002%20Feb%202026%2010:40:27%20GMT	https://www.trustedconsumersreviews.com/best-toenail-fungus-alternatives-stv25/gov.au	C:/Users/toant/Desktop/top-5/www.trustedconsumersreviews.com/best-toenail-fungus-alternatives-stv25/gov.au	(from https://www.trustedconsumersreviews.com/best-toenail-fungus-alternatives-stv25/)
12:40:27	3263/3263	---M--	200	added ('OK')	image/png	etag:%22cbf-66152511-1371a;;;%22	https://www.trustedconsumersreviews.com/wp-content/uploads/2024/04/logo.png	C:/Users/toant/Desktop/top-5/www.trustedconsumersreviews.com/wp-content/uploads/2024/04/logo.png	(from https://www.trustedconsumersreviews.com/best-toenail-fungus-alternatives-stv25/)
